theatre,lng,lat,type,projector,date,ratio,width,height,size,seats,note
汕头万达影院(金平万达广场店),116.689303249389,23.3872408672769,imax,IMAX 氙灯,2020年8月9日,,21.18,10.990,232.7682,396, -
北京环球城市大道电影院,116.683330701179,39.8566509202515,imax,IMAX Commercial Laser,2021年9月20日,,25.80,14.760,380.8080,473,12聲道音響系統
北京万达影城（通州万达广场店）,116.644554894689,39.9113437085394,imax,IMAX 氙灯,2014年11月29日,,"22.36 
20.90","11.70
11.70","261.6120 
244.5300",424, -
北京万达影城（通州万达广场店）,116.644554894689,39.9113437085394,dolby,科视Christie E3LH数字影院放映机,2018年12月1日,,,,,199,北京市第七家杜比影院影厅
北京万达影城(怀柔万达广场店) ,116.63624700601,40.3230950418414,imax,IMAX 氙灯,2017年12月29日,,21.47,11.200,240.4640,339, -
济宁万达影城(太白路万达广场店) ,116.610704497309,35.4135999587486,imax,IMAX 氙灯,2014年7月5日,,  ,  ,  ,350, -
北京沃美影城（熙悦天街IMAX店）,116.609756156182,39.9312064542073,imax,IMAX 氙灯,2021年9月19日,,21.06,11.350,239.0310,380,银幕型号:HARKNESS IMAX Coating 3.1 Peak Gain
北京卢米埃影城(龙湖店) ,116.602642025696,39.930877876633,imax,IMAX 氙灯,2015年10月12日,,23.65,13.040,308.3960,410, -
北京中国民航博物馆,116.544270403149,40.0240627371798,imax,IMAX SR 3D,2012年12月20日,,21.33,16.060,342.5598,300,"科教影院
（建成之后至今未开放）"
亳州万达影城(万达广场店) ,116.540931042246,33.2532720912764,imax,IMAX 氙灯,2016年8月12日,,  ,  ,  ,399, -
北京中国电影博物馆,116.527508022333,40.0021770415523,imax,IMAX GT 3D Laser,"2005年2月10日-2020年8月24日（IMAX GT）
2020年10月31日",,"27.20
30.17","20.5
19.507","557.6
588.52619","402
341","中國大陸地區第3家IMAX影院 （此银幕尺寸为银幕幕布尺寸）
科教影院同时兼具商业影院
12聲道音響系統"
北京金逸影城(朝阳大悦城店) ,116.525791989317,39.9305440412958,imax,IMAX 氙灯,2012年12月20日,,   ,  ,  ,298, -
六安万达影城(万达广场店) ,116.516364901804,31.7684685267198,imax,IMAX 氙灯,2016年12月31日,,20.26,10.730,217.3898,412, - 
北京耀莱成龙国际影城（慈云寺店）,116.498712030735,39.922146093828,dolby,科视Christie E3LH数字影院放映机,"2017年8月25日
2017年9月8日启幕仪式",,14.340,7.730,110.8482,215,北京市第三家杜比影院影厅
北京博纳国际影城(大郊亭IMAX店),116.496985577376,39.8986252791332,imax,IMAX Commercial Laser,2020年12月17日,,20.92,10.900,228.0280,321,12聲道音響系統
北京寰映影城（合生汇店）,116.486251006193,39.8998280446749,dolby,科视Christie E3LH数字影院放映机,"2017年12月22日（9：35正式放映）
2017年12月22日启幕仪式",,14.610,7.870,114.9807,236,北京市第四家杜比影院影厅
北京万达影城(CBD万达广场店) ,116.478065017572,39.9160961893725,imax,IMAX 氙灯,2011年1月11日,,16.86,8.390,141.4554,"359
328",
北京百丽宫影城（国贸店）,116.466382015431,39.9181790824215,dolby,科视Christie E3LH数字影院放映机,原有五号厅正在升级改造中,,,,,204,
北京英皇电影城(英皇中心店) ,116.451293986255,39.9137750556179,imax,IMAX Commercial Laser,"2018年4月29日(IMAX 氙灯)
2019年6月28日",,22.19,11.760,260.9544,324,12聲道音響系統
北京博纳国际影城(朝阳门旗舰店) ,116.439353978908,39.9284131829185,imax,IMAX 氙灯,2014年12月16日,,15.86,8.220,130.3692,232,非常感谢银幕尺寸图提供者WeChat昵称：海明威
上海万达影城(青浦万达茂店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2019年6月22日,,25.76,13.680,352.3968,333,
上海万达影城(宝乐汇店),116.422268926753,40.0669220552418,imax,IMAX 氙灯,2020年8月18日,,"18.7
19.83","10.06
10.27","188.122
203.6541","198
218",上海星美国际影城(宝山店)的经营时间为从2016年10月12日开业一直到倒闭被万达集团收购
上海万达影城(金山万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX Laser XT,"2015年7月17日
2021年8月7日",,"21.4 
23.16","11.56 
12.1","247.384 
280.236",375,原型机来自于巴可Barco SP4K-40B
上海万达影城(临港万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX Laser XT,2022年2月1日,,16.49,8.520,140.4948,220,
北京万达影城(天通苑龙德广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2012年7月27日,,  ,  ,  ,267, -
邯郸万达影城(万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2020年11月28日,,,,,392,
铜陵万达影城(万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2017年11月10日,,   ,  ,,387,
阜阳万达影城(颍州万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2015年9月5日,,  ,  ,  ,427, -
阜阳万达影城(颍泉万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2017年6月16日,,  ,  ,  ,411, -
宣城万达影城(万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2018年6月29日,,  ,  ,  ,332,  -
天水万达影城(万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2021年6月18日,,19.39,10.460,202.8194,,银幕型号:HARKNESS IMAX Coating 3.1 Peak Gain
龙岩万达影城(万达广场店),116.422268926753,40.0669220552418,imax,IMAX 氙灯,2014年11月7日,,  ,  ,  ,401, -
开封万达影城(万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2018年9月28日,,20.13,10.440,210.1572,363, -
乐山万达影城(万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2016年9月23日,,20.25,11.000,222.7500,360, -
遂宁万达影城(万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2016年10月21日,,21.22,  ,  ,394, -
宜宾万达影城(万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2018年12月21日,,20.76,10.770,223.5852,388, -
上饶万达影城(万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2016年11月25日,,23.86,12.700,303.0220,351, -
九江万达影城(万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2017年6月16日,,22.63,11.720,265.2236,396, -
贵港万达影城(万达广场店) ,116.422268926753,40.0669220552418,imax,IMAX 氙灯,2018年12月27日,,  ,  ,  ,359, -
上海万达影城（闵行颛桥万达广场店）,116.422268926753,40.0669220552418,dolby,科视Christie E3LH数字影院放映机,"2017年12月23日
2017年12月23日启幕仪式",,18.800,9.200,172.9600,293,上海市第一家杜比影院影厅
上海万达影城（中信泰富万达广场店）,116.422268926753,40.0669220552418,dolby,科视Christie E3LH数字影院放映机,2018年10月1日,,16.100,7.500,120.7500,237,上海市第四家杜比影院影厅
北京金泉港国际影城 ,116.422161130092,40.0108481004015,imax,IMAX 氙灯,2017年7月1日,,23.66,12.550,296.9330,428,非常感谢银幕尺寸图提供者WeChat昵称：海明威
